现货掉落小蔷薇万能搭配Lolita优雅华丽呱唧原创设lo裙花 嫁长款呱唧家小蔷薇长款拖地花嫁婚纱平价花嫁成人礼礼服演讲主持人裙子生日会出呱唧家小蔷薇长款单裙子，就是裙子主体+腰部俩蝴蝶结+胸口蝴蝶结。S码状态一般算大瑕，就拖地裙摆有点脏，腰封轻微染色(手洗实在没避免，靠近腰封处的蕾丝染粉，不是特别明显)，拖地有一块开裂。内衬是干净的，除拖地裙摆外，外表都看起来也是干净的裙子很重好几斤不包邮，送防尘袋送衣架，+10送裙撑二手物品不退不换不包不刀，拍前请考虑清楚  ,160   ,link: ,https://www.goofish.com/item?id=909052522714&categoryId=126860305
出噗叽家轻地雷系裙子，黑白款，s码 【Doki！op】withpuji原创设计甜酷荷叶摆op双子lolita穿一洗一，送图二自搭项链和蝴蝶结，默认有穿着痕迹，不接受到手刀确定要了再联系我半包邮，运费统一6r  ,140   ,link: ,https://www.goofish.com/item?id=909370710218&categoryId=126860305
【出 恋与心悸】 【恋与心悸】韩菇凉~原创设计Lolita洋 装doll感jsk吊带连衣裙春季 l码 穿一洗一 有吊牌 飞机盒也都在 有同色发带需要的话+12r 也有自搭内搭+62r 包u 拍下就可以发货。。 如果需要还有罗马卷假发 +60r 糖音假发4.0新工艺虎口夹lolita短发新款女日常网红...  ,200   ,link: ,https://www.goofish.com/item?id=909487589103&categoryId=126860305
昭和遗梦op 昭和感海军风 白色m码 二十七原创设计lolita 我是二手收的，到你手就是三手 我是因为手臂太粗肩宽，穿着显肩更宽才出的，腰确实显得很细，衣服也很貌美 还有就是，刚到手就发现没钱了，买谷太多了，只能无奈出掉回血 哦，对了，只到手试穿过一次，还是隔着衬裙  ,144   ,link: ,https://www.goofish.com/item?id=908070420069&categoryId=201509401
【出】国风少女星黛 s码 全新带吊牌 标价不包邮 保正 只有裙子没有两边蝴蝶结 版型超好的裙子  ,160   ,link: ,https://www.goofish.com/item?id=907860537174&categoryId=126860305
核桃博物馆原创设计Lolita裙子，玩具周年款，奶白JSK S码，（裙子➕腰带➕兔子尾巴）。下单即送白糖少女内搭，特别萌！邮费半包，爽快的宝宝送小礼物！裙子成色很好，有购买记录。售出不退不换，偏远地区不包邮。  ,180   ,link: ,https://www.goofish.com/item?id=909324500740&categoryId=126860305
标价叠邮出很叮话家的莓好时光Lolita大全套jsk+bnt +接袖，前娘收来的，我没有穿过，前娘寄过来什么样就什么样，老婆们看图可以找窝，我已经洗干净了，不包手续费，没有吊牌了列表任意两件可小刀包邮  ,230   ,link: ,https://www.goofish.com/item?id=908973716454&categoryId=201509401
【出】MoonShaow复古洋装lolita孤儿怨JSK 二 团 均码 op与赠品们均仅穿一次 未下水 一直放衣柜收藏 因为放了很久 发出去之前会洗香香 送官配内搭 JoliePissenlit猫与蒲公英家 森物语 s码（p1p2）➕黑白发带（p3）➕自配蝴蝶结（p2）➕哼唧家绝版假发樱绛（p4）#Lolita  ,209   ,link: ,https://www.goofish.com/item?id=908523941708&categoryId=201509401
xd价白菜价lolita茜茜公主jsk绀色s码 大全套穿一洗一，送找得到的全套配饰（蝴蝶结珠链罩纱胸针袖套等等）  ,149   ,link: ,https://www.goofish.com/item?id=908411623758&categoryId=201509401
【一团尾款】纯爱赠礼 梦游胖丁原创lolita生日小偶像 o 乳白色，超美短袖层层蓬蓬裙，适合生日或特别场合穿！有喜欢的妹妹吗？带一只小熊一起回家～ 有意向的快联系我哦！支持售后～  ,200   ,link: ,https://www.goofish.com/item?id=908855242421&categoryId=126860305
【出】炭团繁花秘境衬裙，白色，均码。 lolita 吊牌已剪，未穿出门，全款169，自刀149包邮包手续费出，主要没裙子配。 没有飞机盒，用袋子装。  ,149   ,link: ,https://www.goofish.com/item?id=908732527595&categoryId=126860305
带内搭豹了个猫悦龙诗韵LolitaxL 豹了个猫悦龙诗韵Lolita+内搭，XL码，原价360+128，买来只出展穿了一次，隔着紧身衣穿的所以衣服很干净，标价包邮非偏远，可小刀参考数据：本人166 48kg，腰围78，这个裙子腰围85以下也可以穿  ,210   ,link: ,https://www.goofish.com/item?id=909203978433&categoryId=126860305
小黄油lolita 星绶天使大全套s码 裙子+绶带+大蝴蝶结 仅试穿 可以拍照看细节  ,180   ,link: ,https://www.goofish.com/item?id=909493325361&categoryId=126860305
出塔莉亚 包邮包邮包邮!! op款 前几天刚收的，没什么瑕疵，送搭配头饰 送衣架 感兴趣的话点“我想要”和我私聊吧～  ,210   ,link: ,https://www.goofish.com/item?id=907600553561&categoryId=201509401
【和风爱丽丝:小春日和op】withpuji原创设计 lol ita洋装宽松春季 L码只室内穿过一次 未下水 有腰带和蝴蝶结一直放在防尘袋中 几乎全新➕15 出同色系兔耳发带包邮出  ,140   ,link: ,https://www.goofish.com/item?id=907501390142&categoryId=126860305
出全套琉璃城堡家五团第一批威廉小姐中长款长袖s码穿1未出汗仅 下午过了生日，洗了上半身全部，领子认真清洗过，裙摆用湿纸巾擦拭干净 无褪色 有腰带吊尸无瑕和全新一样 所有小物都在送自己买的帽子 爽快包  ,248   ,link: ,https://www.goofish.com/item?id=907274127330&categoryId=201509401
出洋娃娃和小熊跳舞背带 单裙子从前娘那收回来后穿了一次 私我 看状态 能接受再拍 默认微瑕 发货快 拍下后不退不换 lolita  ,149   ,link: ,https://www.goofish.com/item?id=903334013075&categoryId=126860305
【标价包邮出】little butter小黄油家的星授天使裙 子+绶带+蝴蝶结 粉色L码 全新仅试穿 吊牌未拆 裙子目前不在身边 预计在4月20号发货  ,188   ,link: ,https://www.goofish.com/item?id=906530219289&categoryId=126860305
出一条手作lolita裙红白配色 s码，米色姬袖衬衫+裙子 直拍包邮  ,160   ,link: ,https://www.goofish.com/item?id=909936668276&categoryId=126860305
八月乙女Lolita紫色姜饼屋背带甜系呲甜洛丽塔粉紫色渐变甜 呲lo日常lo裙jk店穿过一次一直保存的挺好的，便宜卖了，要搬家了有一个kc小物哈  ,210   ,link: ,https://www.goofish.com/item?id=909264274160&categoryId=126860305
